name,layout,max_tokens,loader,cache_entries,prefill_seconds,decode_seconds,tok_s,packed_read_seconds,materialize_seconds,packed_loads,packed_misses,cache_hits,cache_misses,evictions,cached_prefill_seconds,cached_decode_seconds,cached_cache_resume_hit
route-t8-reuse-c1024,route,8,reuse,1024,91.63026503199944,5.810775313002523,1.37675259652507,1.2945371654932387,3.4681339628004935,1151,0,913,1151,190,0.6159101570083294,0.008246020006481558,False
route-t8-reuse-c2048,route,8,reuse,2048,91.03630067501217,5.5947042199841235,1.429923671643664,1.1386183811118826,3.3517210781865288,1145,0,919,1145,0,0.6351507560175378,0.008243823976954445,False
route-t8-native-c1024,route,8,native,1024,91.53849136599456,5.5133915829937905,1.451012481079019,1.2635714029020164,2.9523982777027413,1151,0,913,1151,190,0.5925145390210673,0.008237502974225208,False
route-t8-native-c2048,route,8,native,2048,91.09280327500892,5.396690441004466,1.4823900105915635,1.0962198485503905,2.9028452337661292,1145,0,919,1145,0,0.6140077770105563,0.008228396996855736,False
route-t32-reuse-c1024,route,32,reuse,1024,92.34782801000983,195.93505090402323,0.163319425760503,2.184753849549452,183.69248666864587,1801,1438,5017,3239,2250,3.218020151980454,0.00821740401443094,False
route-t32-reuse-c2048,route,32,reuse,2048,93.52822024200577,189.79159426200204,0.16860599187456576,3.0897409271274228,177.1871086078463,1371,1319,5566,2690,710,3.349677217018325,0.008086640998953953,False
route-t32-native-c1024,route,32,native,1024,93.74673168401932,183.24474175501382,0.17462984036279686,5.356917672761483,170.80692692365847,1801,1438,5017,3239,2250,3.7675928190001287,0.008317236002767459,False
route-t32-native-c2048,route,32,native,2048,92.8226309469901,182.33311420999235,0.17550295314511946,3.0830987700319383,168.35101257436327,1371,1319,5566,2690,710,2.5514620399917476,0.008276757987914607,False
full-t8-reuse-c1024,full,8,reuse,1024,92.49289540198515,6.83637637301581,1.1702105857683882,2.9537135815771762,4.928639884892618,1151,0,913,1151,190,0.6941868040012196,0.008228085993323475,False
full-t8-reuse-c2048,full,8,reuse,2048,92.14576345900423,6.215936869994039,1.2870143579832838,1.5564107620739378,3.8875102317833807,1145,0,919,1145,0,0.6912901129981037,0.008257895009592175,False
full-t8-native-c1024,full,8,native,1024,91.69484967400786,5.213315633998718,1.5345320639763065,1.3430320060579106,2.839006733323913,1151,0,913,1151,190,0.5346826890017837,0.008277223008917645,False
full-t8-native-c2048,full,8,native,2048,91.80996970098931,6.010816630005138,1.3309339632929647,1.576951384311542,3.434803816053318,1145,0,919,1145,0,0.6787056539906189,0.008185768005205318,False
full-t32-reuse-c1024,full,32,reuse,1024,92.2495022380026,25.257655194000108,1.2669426260756589,7.995627141732257,12.795160501729697,3239,0,5017,3239,2250,0.48356245100148953,0.008292248006910086,False
full-t32-reuse-c2048,full,32,reuse,2048,91.4145100460155,23.231024947977858,1.3774682809587115,5.818209965043934,11.170570490561659,2690,0,5566,2690,710,0.49106254702201113,0.00830975198186934,False
full-t32-native-c1024,full,32,native,1024,91.36595596297411,21.02248269901611,1.5221798708626197,6.076086082088295,9.197669149871217,3239,0,5017,3239,2250,0.3810793150041718,0.008333206991665065,False
full-t32-native-c2048,full,32,native,2048,90.7975058510201,24.98171401201398,1.2809369278909706,7.429113167570904,11.65762486634776,2690,0,5566,2690,710,0.5410672859870829,0.008336967002833262,False
