name,file,component,dtype,shape,bytes,data_start,data_end,file_data_start,file_data_end,layer,expert,matrix,kind
layers.13.ffn.experts.207.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1878291800,1882486104,1878466032,1882660336,13,207,w3,weight
layers.13.ffn.experts.208.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1882486104,1886680408,1882660336,1886854640,13,208,w1,weight
layers.13.ffn.experts.208.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1886680408,1890874712,1886854640,1891048944,13,208,w2,weight
layers.13.ffn.experts.208.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1890874712,1895069016,1891048944,1895243248,13,208,w3,weight
layers.13.ffn.experts.209.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1895069016,1899263320,1895243248,1899437552,13,209,w1,weight
layers.13.ffn.experts.209.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1899263320,1903457624,1899437552,1903631856,13,209,w2,weight
layers.13.ffn.experts.209.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1903457624,1907651928,1903631856,1907826160,13,209,w3,weight
layers.13.ffn.experts.21.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1907651928,1911846232,1907826160,1912020464,13,21,w1,weight
layers.13.ffn.experts.21.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1911846232,1916040536,1912020464,1916214768,13,21,w2,weight
layers.13.ffn.experts.21.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1916040536,1920234840,1916214768,1920409072,13,21,w3,weight
layers.13.ffn.experts.210.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1920234840,1924429144,1920409072,1924603376,13,210,w1,weight
layers.13.ffn.experts.210.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1924429144,1928623448,1924603376,1928797680,13,210,w2,weight
layers.13.ffn.experts.210.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1928623448,1932817752,1928797680,1932991984,13,210,w3,weight
layers.13.ffn.experts.211.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1932817752,1937012056,1932991984,1937186288,13,211,w1,weight
layers.13.ffn.experts.211.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1937012056,1941206360,1937186288,1941380592,13,211,w2,weight
layers.13.ffn.experts.211.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1941206360,1945400664,1941380592,1945574896,13,211,w3,weight
layers.13.ffn.experts.212.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1945400664,1949594968,1945574896,1949769200,13,212,w1,weight
layers.13.ffn.experts.212.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1949594968,1953789272,1949769200,1953963504,13,212,w2,weight
layers.13.ffn.experts.212.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1953789272,1957983576,1953963504,1958157808,13,212,w3,weight
layers.13.ffn.experts.213.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1957983576,1962177880,1958157808,1962352112,13,213,w1,weight
layers.13.ffn.experts.213.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1962177880,1966372184,1962352112,1966546416,13,213,w2,weight
layers.13.ffn.experts.213.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1966372184,1970566488,1966546416,1970740720,13,213,w3,weight
layers.13.ffn.experts.214.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1970566488,1974760792,1970740720,1974935024,13,214,w1,weight
layers.13.ffn.experts.214.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,1974760792,1978955096,1974935024,1979129328,13,214,w2,weight
layers.13.ffn.experts.214.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1978955096,1983149400,1979129328,1983323632,13,214,w3,weight
layers.13.ffn.experts.215.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,1983149400,1987343704,1983323632,1987517936,13,215,w1,weight
